{'loss': -0.0, 'grad_norm': 0.11733023593486018, 'learning_rate': 7.142857142857142e-08, 'completion_length': 521.1927242279053, 'rewards/format_reward_func': 0.29687500838190317, 'rewards/equation_reward_func': 0.039062500931322575, 'reward': 0.3359375139698386, 'reward_std': 0.4733349233865738, 'kl': 0.0, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.12815260945469445, 'learning_rate': 1.4285714285714285e-07, 'completion_length': 476.0234546661377, 'rewards/format_reward_func': 0.26302084093913436, 'rewards/equation_reward_func': 0.06510416814126074, 'reward': 0.3281250079162419, 'reward_std': 0.4561053505167365, 'kl': 0.0004004240036010742, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.11974202206254227, 'learning_rate': 2.1428571428571426e-07, 'completion_length': 490.1953296661377, 'rewards/format_reward_func': 0.24739584140479565, 'rewards/equation_reward_func': 0.05468750069849193, 'reward': 0.3020833423361182, 'reward_std': 0.45721801929175854, 'kl': 0.0004138946533203125, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.13574948213423244, 'learning_rate': 2.857142857142857e-07, 'completion_length': 494.90106201171875, 'rewards/format_reward_func': 0.29687500838190317, 'rewards/equation_reward_func': 0.05208333418704569, 'reward': 0.3489583423361182, 'reward_std': 0.4931933954358101, 'kl': 0.0004076957702636719, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.12418720106815685, 'learning_rate': 3.5714285714285716e-07, 'completion_length': 479.64324378967285, 'rewards/format_reward_func': 0.26562500512227416, 'rewards/equation_reward_func': 0.06510416837409139, 'reward': 0.330729172565043, 'reward_std': 0.45471435599029064, 'kl': 0.00041365623474121094, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.1313885226921042, 'learning_rate': 4.285714285714285e-07, 'completion_length': 481.825532913208, 'rewards/format_reward_func': 0.34114583767950535, 'rewards/equation_reward_func': 0.0651041679084301, 'reward': 0.40625000558793545, 'reward_std': 0.5047696642577648, 'kl': 0.0004278421401977539, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.117927179700838, 'learning_rate': 5e-07, 'completion_length': 493.36980628967285, 'rewards/format_reward_func': 0.3541666744276881, 'rewards/equation_reward_func': 0.08333333488553762, 'reward': 0.4375000139698386, 'reward_std': 0.5827086307108402, 'kl': 0.0008497238159179688, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.12182500541682513, 'learning_rate': 4.999740409224932e-07, 'completion_length': 470.7916774749756, 'rewards/format_reward_func': 0.463541679084301, 'rewards/equation_reward_func': 0.04427083465270698, 'reward': 0.5078125111758709, 'reward_std': 0.5373352356255054, 'kl': 0.0010700225830078125, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.11872071899773252, 'learning_rate': 4.998961690809627e-07, 'completion_length': 471.4895992279053, 'rewards/format_reward_func': 0.5885416883975267, 'rewards/equation_reward_func': 0.05468750139698386, 'reward': 0.6432291902601719, 'reward_std': 0.5506356563419104, 'kl': 0.002936840057373047, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.11719772701668699, 'learning_rate': 4.997664006472578e-07, 'completion_length': 455.6093864440918, 'rewards/format_reward_func': 0.6875000260770321, 'rewards/equation_reward_func': 0.09635417000390589, 'reward': 0.783854179084301, 'reward_std': 0.5272978991270065, 'kl': 0.004487037658691406, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.08378060917461612, 'learning_rate': 4.995847625707292e-07, 'completion_length': 448.82032203674316, 'rewards/format_reward_func': 0.7630208544433117, 'rewards/equation_reward_func': 0.06250000139698386, 'reward': 0.825520858168602, 'reward_std': 0.4396494198590517, 'kl': 0.00603485107421875, 'epoch': 0.01}
